# mirror design exported by jaxmirror
# angle of incidence: 45 deg
# phase convention sign: +1
# incident medium: Air (n=1)
# layer 1: main/Si/Franta-20C, thickness 100000 nm
# substrate: main/Si/Franta-20C
# tabulated-data smoothing: sigma = 0.5 nm
# columns: wavelength_nm, R_s, R_p, phase_s_rad, phase_p_rad, GDD_s_fs2, GDD_p_fs2
1.148550000000000040e+02,7.382682104374642673e-01,5.450399505425359559e-01,-2.276204150625216638e+00,-4.552408301250434164e+00,2.678982283175177295e-02,5.357964573164886862e-02
1.154500000000000171e+02,7.360293309670129513e-01,5.417391760437489934e-01,-2.282785881863296229e+00,-4.565571763726593346e+00,3.444615737490925450e-02,6.889231483261920586e-02
1.160450000000000017e+02,7.336107005475134279e-01,5.381846599578136159e-01,-2.289057900537440293e+00,-4.578115801074881475e+00,4.217856233719904924e-02,8.435712472980096133e-02
1.166400000000000148e+02,7.310077048766902008e-01,5.343722645890861545e-01,-2.294975325516408926e+00,-4.589950651032817852e+00,5.002374287683112458e-02,1.000474858404070133e-01
1.172349999999999994e+02,7.282136825410769898e-01,5.302951674400376847e-01,-2.300494961174312625e+00,-4.600989922348626138e+00,5.802811845421864539e-02,1.160562367768045999e-01
1.178300000000000125e+02,7.252281635803059512e-01,5.259558892500626470e-01,-2.305583528403673199e+00,-4.611167056807347286e+00,5.398936060166582840e-02,1.079787212577928840e-01
1.184249999999999972e+02,7.221091926039050479e-01,5.214416860430636236e-01,-2.310270804435064829e+00,-4.620541608870130545e+00,4.712070091725623078e-02,9.424140171554022671e-02
1.190200000000000102e+02,7.189395684790620411e-01,5.168741031248602624e-01,-2.314611573337512773e+00,-4.629223146675026435e+00,4.043256346471679752e-02,8.086512700414599797e-02
1.196150000000000091e+02,7.158001437646484000e-01,5.123698458134907652e-01,-2.318657133993833774e+00,-4.637314267987667549e+00,3.389224658267654677e-02,6.778449302529097886e-02
1.202100000000000222e+02,7.127700558620559956e-01,5.080411525335986056e-01,-2.322455547472336956e+00,-4.644911094944674801e+00,2.746657458009572200e-02,5.493314914295645279e-02
1.208050000000000068e+02,7.099270225006492074e-01,5.039963772766379302e-01,-2.326051994209597407e+00,-4.652103988419195701e+00,2.112054307536631939e-02,4.224108610534360597e-02
1.214000000000000199e+02,7.073475805111547610e-01,5.003405996549844525e-01,-2.329489116938888493e+00,-4.658978233877776987e+00,1.481598796917154778e-02,2.963197579818666397e-02
1.219950000000000045e+02,7.051072730741798633e-01,4.971762665421066152e-01,-2.332807357377552293e+00,-4.665614714755106363e+00,8.510330159264891184e-03,1.702066035496901247e-02
1.225900000000000176e+02,7.032807897875282821e-01,4.946038692841696616e-01,-2.336045293297166925e+00,-4.672090586594333850e+00,2.155461535222374242e-03,4.310923057972187306e-03
1.231850000000000023e+02,7.019420624194308012e-01,4.927226589936445911e-01,-2.339239980965572840e+00,-4.678479961931145681e+00,-4.216527356391768823e-03,-8.433054713705093880e-03
1.237800000000000153e+02,7.011371010611776589e-01,4.915932344844721191e-01,-2.342422698736398523e+00,-4.684845397472797046e+00,-6.004405776603665909e-03,-1.200881154904658542e-02
1.243750000000000000e+02,7.008092334002424817e-01,4.911335816190355308e-01,-2.345607039129888438e+00,-4.691214078259777764e+00,-8.068858015706172407e-03,-1.613771602473029407e-02
1.249700000000000131e+02,7.008797875539414246e-01,4.912324766016583077e-01,-2.348803281763836015e+00,-4.697606563527672918e+00,-1.035509038017057813e-02,-2.071018076239912464e-02
1.255649999999999977e+02,7.012724732635902125e-01,4.917830817572328983e-01,-2.352022356118272040e+00,-4.704044712236544967e+00,-1.281554768253367026e-02,-2.563109536492948551e-02
1.261600000000000108e+02,7.019130659650266724e-01,4.926819521724240536e-01,-2.355275547487869936e+00,-4.710551094975739872e+00,-1.541078045490335696e-02,-3.082156090985406147e-02
1.267549999999999955e+02,7.027291850343998503e-01,4.938283074991117738e-01,-2.358574266099318528e+00,-4.717148532198637056e+00,-1.811019645447218065e-02,-3.622039290892801328e-02
1.273500000000000085e+02,7.036501623280494444e-01,4.951235509442898364e-01,-2.361929877502405350e+00,-4.723859755004811589e+00,-2.089270518614901040e-02,-4.178541037227564980e-02
1.279449999999999932e+02,7.046069966527825912e-01,4.964710197320550966e-01,-2.365353591786935272e+00,-4.730707183573871433e+00,-2.374726202271957784e-02,-4.749452404541767980e-02
1.285400000000000205e+02,7.055323893229791254e-01,4.977759523837922417e-01,-2.368856408733689189e+00,-4.737712817467379267e+00,-2.667331583740747969e-02,-5.334663167488168378e-02
1.291349999999999909e+02,7.063610198953356178e-01,4.989458904275785867e-01,-2.372449051246778406e+00,-4.744898102493557701e+00,-2.812287754121736705e-02,-5.624575508302541438e-02
