# mirror design exported by jaxmirror
# angle of incidence: 0 deg
# phase convention sign: +1
# incident medium: Air (n=1)
# layer 1: main/MgF2/Franta, thickness 20 nm
# substrate: main/Al/Rakic
# columns: wavelength_nm, R_s, R_p, phase_s_rad, phase_p_rad, GDD_s_fs2, GDD_p_fs2
1.142600000000000193e+02,9.069451267500030500e-01,9.069451267500030500e-01,-3.224551853126316647e+00,-8.295919953652367007e-02,3.650175840487769885e-01,3.650175840487769885e-01
1.148550000000000040e+02,9.099494504068381673e-01,9.099494504068381673e-01,-3.270503454505968577e+00,-1.289108009161754331e-01,2.842070477149865604e-01,2.842070477149865604e-01
1.154500000000000171e+02,9.121136142180040762e-01,9.121136142180040762e-01,-3.313981781619982581e+00,-1.723891280301896589e-01,1.965929990245758596e-01,1.965929990245758596e-01
1.160450000000000017e+02,9.138391342229710279e-01,9.138391342229710279e-01,-3.355517721221743521e+00,-2.139250676319504607e-01,2.281385449728024206e-01,2.281385449728024206e-01
1.166400000000000148e+02,9.153271686852489930e-01,9.153271686852489930e-01,-3.395377123290276966e+00,-2.537844697004837946e-01,1.523091934607944953e-01,1.523091934607944953e-01
1.172349999999999994e+02,9.166828901598630397e-01,9.166828901598630397e-01,-3.433876892664410541e+00,-2.922842390746173136e-01,8.507062898580715349e-02,8.507062898580715349e-02
1.178300000000000125e+02,9.179562042820735845e-01,9.179562042820735845e-01,-3.471303673340374374e+00,-3.297110197505814799e-01,1.058507503497846530e-01,1.058507503497846530e-01
1.184249999999999972e+02,9.191553067405505706e-01,9.191553067405505706e-01,-3.507756475631025328e+00,-3.661638220412323230e-01,8.881775371542657838e-02,8.881775371542657838e-02
1.190200000000000102e+02,9.202823449349952778e-01,9.202823449349952778e-01,-3.543375569465626818e+00,-4.017829158758338681e-01,3.727108015929762180e-02,3.727108015929762180e-02
1.196150000000000091e+02,9.213372301646569618e-01,9.213372301646569618e-01,-3.578300932261704315e+00,-4.367082786719114207e-01,3.285219806705635265e-02,3.285219806705635265e-02
